Id,Community Profile,Name,AngelList URL,Logo URL,Thumbnail URL,Quality,Product Description,High Concept,Followers,Company URL,Created At,Updated At,Twitter,Blog,Video URL,City
60,False,Adaptly,https://angel.co/adaptly,https://d1qb2nb5cznatu.cloudfront.net/startups/i/60-612f0f37d34a76c71433b4dfc6e518ed-medium_jpg.jpg?buster=1324935948,https://d1qb2nb5cznatu.cloudfront.net/startups/i/60-612f0f37d34a76c71433b4dfc6e518ed-thumb_jpg.jpg?buster=1324935948,10,"Adaptly provides unique social buying experiences for advertisers seeking solutions that span the entire marketing funnel. Our success and innovation in creating strategic brand marketing solutions is built on a foundation of transparency, quality and performance. With powerful technology and social marketing expertise at our core, Adaptly excels at driving value and ROI for clients across the offline and online bridge.

Founded in 2010 by Nikhil Sethi and Garrett Ullom, Adaptly was incubated through DreamIt Ventures and is now based in New York City. Investors include Valhalla Partners, Time Warner Investments, First Round Capital, Charles River Ventures, Lerer Ventures, kbs+p Ventures, Vivi Nevo and more. Adaptlys clients include brands and agencies such as PepsiCo, Diageo, Showtime, Big Fuel, Kraft Foods and hundreds more. For more information, please visit www.Adaptly.com.",The Easiest Way to Advertise Across The Social Web.,326,http://www.adaptly.com,2010-07-26T22:52:29Z,2013-10-28T21:13:50Z,http://www.twitter.com/adaptly,http://talk.adaptly.com, ,New York City
63,False,Draft (previously StarStreet.com),https://angel.co/draft-previously-starstreet-com,https://d1qb2nb5cznatu.cloudfront.net/startups/i/63-75f1974a84adcdfbb41af089c113d7da-medium_jpg.jpg?buster=1410810557,https://d1qb2nb5cznatu.cloudfront.net/startups/i/63-75f1974a84adcdfbb41af089c113d7da-thumb_jpg.jpg?buster=1410810557,10,"StarStreet.com was recently sold to DraftKings but the team behind StarStreet is staying independent, working on a new game, Draft.  

Draft is a head-to-head fantasy game built for the ground up for iOS. Draft has taken all the learnings the team has from over five years building innovative fantasy games. 

Fantasy sports players deserve a great mobile experience. Draft is coming.","Real money, one-day, mobile fantasy sports",355,http://playdraft.com,2010-07-02T07:00:00Z,2014-09-15T20:00:05Z,http://twitter.com/PlayDraft, , ,New York City
115,False,Flavors.me,https://angel.co/flavors-me,https://d1qb2nb5cznatu.cloudfront.net/startups/i/115-fe24cf16e99dd8f5d42d6a2d8a74b185-medium_jpg.jpg?buster=1335827357,https://d1qb2nb5cznatu.cloudfront.net/startups/i/115-fe24cf16e99dd8f5d42d6a2d8a74b185-thumb_jpg.jpg?buster=1335827357,9,"Flavors.me allows anyone to make a branded web presence using personal content from around the Internet. It automatically organizes all kinds of information  Tumblr blog posts, Twitter status updates, YouTube videos, Last.fm music listening habits, Flickr photos, LinkedIn resume details, Etsy store listings and more  into a constantly growing, interactive montage that is ideal for personal homepages, lifestreaming, portfolios, brand marketing  and everything in between.",Social media-based web presence builder,152,http://flavors.me,2010-08-01T07:40:49Z,2013-06-26T21:43:24Z,http://twitter.com/flavorsme,http://blog.flavors.me,http://vimeo.com/7105366,New York City
118,False,Krossover,https://angel.co/krossover,https://d1qb2nb5cznatu.cloudfront.net/startups/i/118-154bb70102453278fdab8311af5e78d3-medium_jpg.jpg?buster=1370569576,https://d1qb2nb5cznatu.cloudfront.net/startups/i/118-154bb70102453278fdab8311af5e78d3-thumb_jpg.jpg?buster=1370569576,8,Krossover sIQ is a mobile application that allows anyone to test their perceptual ability in sports (otherwise known as your Sports IQ).,Friday Night Lights meets Moneyball,217,http://www.krossover.com,2010-08-01T19:44:06Z,2014-06-19T18:45:11Z,http://twitter.com/krossovr,http://www.krossover.com/blog,https://www.youtube.com/watch?v=jjicv2gGoa8,New York City
279,False,Pogby (imbookin) - ACQUIRED 9/2013,https://angel.co/pogby-imbookin-acquired-9-2013,https://d1qb2nb5cznatu.cloudfront.net/startups/i/279-e9a9c4966b6638634c38634c3eef4c20-medium_jpg.jpg?buster=1321306396,https://d1qb2nb5cznatu.cloudfront.net/startups/i/279-e9a9c4966b6638634c38634c3eef4c20-thumb_jpg.jpg?buster=1321306396,7,"imbookin (Pogby) is the first web solution/marketplace to provide event planners and suppliers with real-time venue availability and the ability to reserve and book a venue for an event.  We have been referred to as the ""OpenTable for Events"" and the ""Expedia of Event Packages.""",The First Event Marketplace (Connecting Venues with Consumer Channels),94,http://www.pogby.com,2010-08-23T14:59:25Z,2013-10-15T16:17:58Z,http://twitter.com/imbookin,http://blog.imbookin.com,http://www.youtube.com/v/TRXE1gTAc4E?version=3&amp;hl=en_US&ap=%2526fmt%3D18&rel=0,New York City
321,False,Accomplsh,https://angel.co/accomplsh,https://d1qb2nb5cznatu.cloudfront.net/startups/i/321-241aa4c324c2d1793edbf54e3f000e53-medium_jpg.jpg?buster=1393053389,https://d1qb2nb5cznatu.cloudfront.net/startups/i/321-241aa4c324c2d1793edbf54e3f000e53-thumb_jpg.jpg?buster=1393053389,5,"Accomplsh is a company dedicated to building the tools that help you to become the person you want to be.

Starting with Accompl.sh, the online community dedicated to sharing your journey toward reaching your goals, Accomplsh as a company has expanded to include an iPhone app called Focus, which is aimed at helping you to stay on task each day. 

Over time our portfolio will expand to include multiple offerings all in service of making your life better.",For a more awesome you.,62,http://accomplsh.co,2010-08-27T08:42:02Z,2014-04-23T20:03:53Z,http://twitter.com/accomplshco,https://medium.com/a-more-awesome-you, ,New York City
340,False,ActiveCause,https://angel.co/activecause,https://d1qb2nb5cznatu.cloudfront.net/startups/i/340-5f74d13dcae193c5029268badd276307-medium_jpg.jpg?buster=1378155902,https://d1qb2nb5cznatu.cloudfront.net/startups/i/340-5f74d13dcae193c5029268badd276307-thumb_jpg.jpg?buster=1378155902,4,"ActiveCause Workplace Giving is a loyalty and gaming platform for companies to reward socially responsible behavior. 

Employees and customers ""do good"", companies reward them.  Behaviors get reported through a social report card (can be reused in press and annual reports).",A loyalty and gaming platform to reward socially responsible behavior,9,http://activecause.com,2010-08-30T19:03:40Z,2013-09-02T21:05:05Z,http://twitter.com/activecause, , ,New York City
351,False,Smart*Story Marketing,https://angel.co/smart-story-marketing,https://d1qb2nb5cznatu.cloudfront.net/startups/i/351-dd96af43ac103967f6a6f1e9d5c2f34a-medium_jpg.jpg?buster=1347929338,https://d1qb2nb5cznatu.cloudfront.net/startups/i/351-dd96af43ac103967f6a6f1e9d5c2f34a-thumb_jpg.jpg?buster=1347929338,4,"Our software Optimizes Marketing Communications with AI-based Marketing Mathematics. It listens to target audiences, identifies potential brand advocates, understands their interests, and delivers timely, relevant content that appears like compelling 1:1 marketing.

Smart*Story is The Breakthrough Solution that uses Smart*Data to find and court the Right People at the Right Time. Smart*Brands are automatically built that deliver Content/Advertising with high accuracy and efficiencies and our Marketing Math optimizes global reach and revenue $$$ earning CMOs the respect from CEOs/boards they deserve.",Smart*Story + Smart*Data builds deep Customer Relationships that Drive Sales,17,http://www.aixmarketing.com,2010-08-31T19:41:51Z,2014-04-19T14:53:18Z,http://twitter.com/@jzagro, , ,New York City
360,False,Olapic,https://angel.co/olapic,https://d1qb2nb5cznatu.cloudfront.net/startups/i/360-466f07ed7bfb24f4a9d4f159d8d8fa90-medium_jpg.jpg?buster=1381176596,https://d1qb2nb5cznatu.cloudfront.net/startups/i/360-466f07ed7bfb24f4a9d4f159d8d8fa90-thumb_jpg.jpg?buster=1381176596,7,Olapic helps brands shape unique e-commerce experiences with the social media content their users create.,Shaping unique e-commerce experiences with social media,220,http://olapic.com,2010-09-01T14:33:23Z,2014-02-18T16:20:26Z,http://twitter.com/olapic,http://olapic.com/blog,http://www.youtube.com/watch?v=VooTv2Y6KDE,New York City
448,False,StereoGrid,https://angel.co/stereogrid,https://d1qb2nb5cznatu.cloudfront.net/startups/i/448-c208dafd8a4271c7b3b7b236cb718cbc-medium_jpg.jpg?buster=1330909042,https://d1qb2nb5cznatu.cloudfront.net/startups/i/448-c208dafd8a4271c7b3b7b236cb718cbc-thumb_jpg.jpg?buster=1330909042,4,"StereoGrid leverages artists existing press lists and the StereoGrid Network of music websites to distribute new music releases to the world. 

We provide artists with valuable analytics on how their music spreads across the ether of the music web while engaging and capturing new fans. We then provide music websites with deep audience insights on how their visitors engage with the music they share.","Viral, Controlled, & Measured Music Distribution to the World.",7,http://www.stereogrid.com,2010-09-11T22:40:12Z,2013-06-26T21:43:37Z,http://twitter.com/stereogrid,http://blog.stereogrid.com, ,New York City
469,False,Thumb,https://angel.co/thumb,https://d1qb2nb5cznatu.cloudfront.net/startups/i/469-28fda1af5475bf1ea9a64cafce995a6a-medium_jpg.jpg?buster=1353527236,https://d1qb2nb5cznatu.cloudfront.net/startups/i/469-28fda1af5475bf1ea9a64cafce995a6a-thumb_jpg.jpg?buster=1353527236,10,"*Acquired by Ypulse in June '13.  

Thumb is the leading mobile social network that helps people get instant opinions.  The company and service has been featured by CNN, TechCrunch, Ad Age, and many others.  The service is growing with users are spending over 4 hours per month and producing over 1 billion responses to 20 million questions on a yearly basis.",Leading mobile social network that helps people get instant opinions,323,http://www.thumb.it,2010-09-14T20:40:58Z,2014-09-12T21:43:18Z,http://www.twitter.com/thumb, , ,New York City
480,False,Nelbee ,https://angel.co/nelbee,https://d1qb2nb5cznatu.cloudfront.net/startups/i/480-c526bdfb3c0b47a23db96864fdfd13ed-medium_jpg.jpg?buster=1315770900,https://d1qb2nb5cznatu.cloudfront.net/startups/i/480-c526bdfb3c0b47a23db96864fdfd13ed-thumb_jpg.jpg?buster=1315770900,4,"Nelbee delivers qualified leads to real estate brokers with our uniquely scalable proprietary scoring algorithm and patent pending real-time scheduler. 

We score leads on a 6 question calculation, deliver it to brokers in the local area, and the first to contact gets the buyer. Quality deal flow and online scheduling integration with all properties on Nelbee saves brokers 20 hours a week and makes them more money in less time.",OpenTable for Real Estate Leads,62,http://nelbee.com,2010-09-15T20:54:27Z,2013-08-03T19:59:54Z,http://twitter.com/nelbeenews,http://blog.nelbee.com,http://www.youtube.com/watch?v=VDvS6Sy5mxM,New York City
516,False,Artsy,https://angel.co/artsy,https://d1qb2nb5cznatu.cloudfront.net/startups/i/516-6f81e587aba9e57bcfe8a9eace707290-medium_jpg.jpg?buster=1397676864,https://d1qb2nb5cznatu.cloudfront.net/startups/i/516-6f81e587aba9e57bcfe8a9eace707290-thumb_jpg.jpg?buster=1397676864,10,"Artsys mission is to make all the worlds art accessible to anyone with an Internet connection. We are an online platform for discovering, learning about, and collecting art. Our growing collection comprises 125,000+ artworks by 25,000+ artists from leading art fairs, galleries, museums, and art institutions. Artsy provides one of the largest collections of contemporary art available online.

Powered by The Art Genome Projecta way of providing pathways for discovery for experts and non-experts alikeArtsy hopes to foster new generations of art lovers, museum-goers, collectors, and patrons. We are honored to partner with 1,500+ leading galleries, as well as 200+ museums and institutional partners from around the globe.

See Artsy's 2013 Year in Review: http://2013.artsy.net",Spotify for the Art World,1665,http://artsy.net,2010-09-21T05:51:18Z,2014-04-17T22:19:46Z,http://twitter.com/artsy,http://artsy.github.com, ,New York City
